Budget,DeepGini,Uncertainty,MCP,DSA,Ours,Ideal
1,1.737242,1.809627,1.628664,1.664857,2.099168,2.171553
2,3.583062,3.365907,2.931596,3.329714,4.162143,4.343105
5,8.39667,8.215708,7.528049,7.926167,10.53203,10.85776
10,16.43142,15.5266,14.91133,15.49041,20.01448,21.71553
15,23.52515,22.47557,22.04126,22.72892,28.88165,32.57329
20,30.14839,29.67789,28.19399,29.35215,37.02497,43.43105
30,42.77959,42.99674,39.59464,42.12812,51.28484,65.14658
40,55.51936,55.30221,51.17626,54.72313,65.21896,86.86211
50,67.42671,67.10098,61.81687,66.9924,77.77778,100
60,78.97213,78.03113,72.45747,77.85016,87.69453,100
70,88.78031,87.15165,82.73616,86.75353,94.173,100
80,94.96924,93.81107,89.97467,93.7025,97.79225,100
90,99.0228,98.84184,96.67029,98.58849,98.76945,100
100,100,100,100,100,100,100
